날짜,국고채 3년
200301월,4.96
200302월,4.73
200303월,4.78
200304월,4.6
200305월,4.27
200306월,4.07
200307월,4.37
200308월,4.62
200309월,4.25
200310월,4.28
200311월,4.77
200312월,4.87
200401월,4.88
200402월,4.83
200403월,4.58
200404월,4.54
200405월,4.39
200406월,4.28
200407월,4.19
200408월,3.82
200409월,3.59
200410월,3.54
200411월,3.42
200412월,3.28
200501월,3.65
200502월,4.19
200503월,4.04
200504월,3.86
200505월,3.71
200506월,3.79
200507월,4.12
200508월,4.33
200509월,4.52
200510월,4.81
200511월,5.1
200512월,5.06
200601월,5.02
200602월,4.87
200603월,4.93
200604월,4.95
200605월,4.78
200606월,4.89
200607월,4.89
200608월,4.77
200609월,4.69
200610월,4.62
200611월,4.72
200612월,4.82
200701월,4.97
200702월,4.91
200703월,4.79
200704월,4.94
200705월,5.1
200706월,5.24
200707월,5.35
200708월,5.28
200709월,5.39
200710월,5.42
200711월,5.54
200712월,5.89
200801월,5.44
200802월,5.06
200803월,5.15
200804월,4.98
200805월,5.28
200806월,5.7
200807월,5.96
200808월,5.77
200809월,5.81
200810월,5.09
200811월,4.97
200812월,3.97
200901월,3.44
200902월,3.78
200903월,3.69
200904월,3.76
200905월,3.83
200906월,4.09
200907월,4.09
200908월,4.42
200909월,4.4
200910월,4.47
200911월,4.32
200912월,4.24
201001월,4.29
201002월,4.19
201003월,3.94
201004월,3.77
201005월,3.7
201006월,3.75
201007월,3.88
201008월,3.73
201009월,3.48
201010월,3.24
201011월,3.4
201012월,3.25
201101월,3.71
201102월,3.94
201103월,3.74
201104월,3.74
201105월,3.66
201106월,3.65
201107월,3.77
201108월,3.57
201109월,3.45
201110월,3.47
201111월,3.39
201112월,3.36
201201월,3.37
201202월,3.43
201203월,3.55
201204월,3.5
201205월,3.38
201206월,3.29
201207월,3.01
201208월,2.83
201209월,2.81
201210월,2.78
201211월,2.8
201212월,2.85
201301월,2.75
201302월,2.7
201303월,2.6
201304월,2.55
201305월,2.59
201306월,2.87
201307월,2.91
201308월,2.94
201309월,2.9
201310월,2.83
201311월,2.94
201312월,2.94
201401월,2.89
201402월,2.85
201403월,2.87
201404월,2.88
201405월,2.84
201406월,2.75
201407월,2.56
201408월,2.54
201409월,2.41
201410월,2.24
201411월,2.14
201412월,2.14
201501월,2.04
201502월,2.02
201503월,1.87
201504월,1.74
201505월,1.88
201506월,1.77
201507월,1.78
201508월,1.74
201509월,1.65
201510월,1.63
201511월,1.75
201512월,1.72
201601월,1.63
201602월,1.47
201603월,1.5
201604월,1.47
201605월,1.46
201606월,1.33
201607월,1.22
201608월,1.24
201609월,1.31
201610월,1.36
201611월,1.61
201612월,1.69
201701월,1.64
201702월,1.67
201703월,1.71
201704월,1.68
201705월,1.7
201706월,1.67
201707월,1.74
201708월,1.78
201709월,1.79
201710월,2.03
201711월,2.15
201712월,2.1
201801월,2.19
201802월,2.28
201803월,2.27
201804월,2.19
201805월,2.25
201806월,2.18
201807월,2.1
201808월,2.02
201809월,1.95
201810월,2.01
201811월,1.94
201812월,1.83
201901월,1.81
201902월,1.8
201903월,1.79
201904월,1.74
201905월,1.68
201906월,1.5
201907월,1.38
201908월,1.16
201909월,1.29
201910월,1.36
201911월,1.49
201912월,1.39
202001월,1.37
202002월,1.25
202003월,1.09
202004월,1.02
202005월,0.88
202006월,0.85
202007월,0.83
202008월,0.83
202009월,0.91
202010월,0.91
202011월,0.97
202012월,0.97
202101월,0.98
202102월,1
202103월,1.13
202104월,1.14
202105월,1.13
202106월,1.3
202107월,1.42
202108월,1.41
202109월,1.52
202110월,1.84
202111월,1.95
202112월,1.8
202201월,2.06
202202월,2.29
202203월,2.37
202204월,2.94
202205월,3.02
202206월,3.48
202207월,3.24
202208월,3.25
202209월,3.9
202210월,4.24
202211월,3.9
202212월,3.63
202301월,3.46
202302월,3.47
202303월,3.46
202304월,3.26
202305월,3.33
202306월,3.55
202307월,3.64
202308월,3.73
202309월,3.84
200310월,4.28
200311월,4.77
200312월,4.87
200401월,4.88
200402월,4.83
200403월,4.58
200404월,4.54
200405월,4.39
200406월,4.28
200407월,4.19
200408월,3.82
200409월,3.59
200410월,3.54
200411월,3.42
200412월,3.28
200501월,3.65
200502월,4.19
200503월,4.04
200504월,3.86
200505월,3.71
200506월,3.79
200507월,4.12
200508월,4.33
200509월,4.52
200510월,4.81
200511월,5.1
200512월,5.06
200601월,5.02
200602월,4.87
200603월,4.93
200604월,4.95
200605월,4.78
200606월,4.89
200607월,4.89
200608월,4.77
200609월,4.69
200610월,4.62
200611월,4.72
200612월,4.82
200701월,4.97
200702월,4.91
200703월,4.79
200704월,4.94
200705월,5.1
200706월,5.24
200707월,5.35
200708월,5.28
200709월,5.39
200710월,5.42
200711월,5.54
200712월,5.89
200801월,5.44
200802월,5.06
200803월,5.15
200804월,4.98
200805월,5.28
200806월,5.7
200807월,5.96
200808월,5.77
200809월,5.81
200810월,5.09
200811월,4.97
200812월,3.97
200901월,3.44
200902월,3.78
200903월,3.69
200904월,3.76
200905월,3.83
200906월,4.09
200907월,4.09
200908월,4.42
200909월,4.4
200910월,4.47
200911월,4.32
200912월,4.24
201001월,4.29
201002월,4.19
201003월,3.94
201004월,3.77
201005월,3.7
201006월,3.75
201007월,3.88
201008월,3.73
201009월,3.48
201010월,3.24
201011월,3.4
201012월,3.25
201101월,3.71
201102월,3.94
201103월,3.74
201104월,3.74
201105월,3.66
201106월,3.65
201107월,3.77
201108월,3.57
201109월,3.45
201110월,3.47
201111월,3.39
201112월,3.36
201201월,3.37
201202월,3.43
201203월,3.55
201204월,3.5
201205월,3.38
201206월,3.29
201207월,3.01
201208월,2.83
201209월,2.81
201210월,2.78
201211월,2.8
201212월,2.85
201301월,2.75
201302월,2.7
201303월,2.6
201304월,2.55
201305월,2.59
201306월,2.87
201307월,2.91
201308월,2.94
201309월,2.9
201310월,2.83
201311월,2.94
201312월,2.94
201401월,2.89
201402월,2.85
201403월,2.87
201404월,2.88
201405월,2.84
201406월,2.75
201407월,2.56
201408월,2.54
201409월,2.41
201410월,2.24
201411월,2.14
201412월,2.14
201501월,2.04
201502월,2.02
201503월,1.87
201504월,1.74
201505월,1.88
201506월,1.77
201507월,1.78
201508월,1.74
201509월,1.65
201510월,1.63
201511월,1.75
201512월,1.72
201601월,1.63
201602월,1.47
201603월,1.5
201604월,1.47
201605월,1.46
201606월,1.33
201607월,1.22
201608월,1.24
201609월,1.31
201610월,1.36
201611월,1.61
201612월,1.69
201701월,1.64
201702월,1.67
201703월,1.71
201704월,1.68
201705월,1.7
201706월,1.67
201707월,1.74
201708월,1.78
201709월,1.79
201710월,2.03
201711월,2.15
201712월,2.1
201801월,2.19
201802월,2.28
201803월,2.27
201804월,2.19
201805월,2.25
201806월,2.18
201807월,2.1
201808월,2.02
201809월,1.95
201810월,2.01
201811월,1.94
201812월,1.83
201901월,1.81
201902월,1.8
201903월,1.79
201904월,1.74
201905월,1.68
201906월,1.5
201907월,1.38
201908월,1.16
201909월,1.29
201910월,1.36
201911월,1.49
201912월,1.39
202001월,1.37
202002월,1.25
202003월,1.09
202004월,1.02
202005월,0.88
202006월,0.85
202007월,0.83
202008월,0.83
202009월,0.91
202010월,0.91
202011월,0.97
202012월,0.97
202101월,0.98
202102월,1
202103월,1.13
202104월,1.14
202105월,1.13
202106월,1.3
202107월,1.42
202108월,1.41
202109월,1.52
202110월,1.84
202111월,1.95
202112월,1.8
202201월,2.06
202202월,2.29
202203월,2.37
202204월,2.94
202205월,3.02
202206월,3.48
202207월,3.24
202208월,3.25
202209월,3.9
202210월,4.24
202211월,3.9
202212월,3.63
202301월,3.46
202302월,3.47
202303월,3.46
202304월,3.26
202305월,3.33
202306월,3.55
202307월,3.64
202308월,3.73
202309월,3.84
202310월,4.03
202311월,3.77
202312월,3.35
